"","ID","GENDER_CODE","CITY","STATE_CODE","ZIPCODE","HAVE_PHONE","EMAIL_ADDRESS","DEGREE1_GRAD_DATE","DEGREE1_CAMPUS","DEGREE1_DEGREE","DEGREE1_SCHOOL","DEGREE1_MAJOR","DEGREE2_GRAD_DATE","DEGREE2_CAMPUS","DEGREE2_DEGREE","DEGREE2_SCHOOL","DEGREE2_MAJOR","NON.UT_DEGREES","SpouseGradUT","SPOUSE_NON_UT_DEGREES","RELATIONS_UT","FRATERNITY.SORORITY","STUDENT.LIFE","X1ST_GIFT_UT","WE","LOGAMOUNT"
"11491",2684,"M","Nashville","TN","37215","Yes","Present",1971,"UTK","Bachelor of Science","Bus Adm - UTK","Public Administration",NA," "," "," "," ","No","","No","Missing","","N",1978,"WE6 - $50,000 < $100,000",2.90868871419228
"35377",2685,"M","Nashville","TN","37219","Yes","Present",1983,"UTK","Bachelor of Science","Bus Adm - UTK","Accounting",1984,"UTK","Master of Accountancy","Bus Adm - UTK","Accounting","No","Yes","No","Present","UTK - Phi Delta Theta","Y",1985,"WE4 - $250,000 < $500,000",4.59361830812954
"2210",2686,"M","Cleveland","TN","37312","Yes","Present",1982,"UTK","Bachelor of Science","Bus Adm - UTK","Marketing",NA," "," "," "," ","No","Yes","No","Missing","UTK - Beta Theta Pi","Y",1983,"WE6 - $50,000 < $100,000",2.41497334797082
"43204",2687,"F","Trussville","AL","35173","Yes","Present",1996,"UTK","Bachelor of Science","Bus Adm - UTK","Finance",NA," "," "," "," ","No","","No","Present","UTK - Delta Gamma","Y",2004,"WE8 - $15,000 < $25,000",1.39794000867204
"26079",2689,"M","Dickson","TN","37055","Yes","Missing",1957,"UTK"," ","Bus Adm - UTK","Unknown",NA," "," "," "," ","No","","No","Missing","","N",1982,"WE7 - $25,000 < $50,000",1.8750612633917
"36029",2690,"M","Nashville","TN","37214","Yes","Missing",1990,"UTK","Bachelor of Science","Bus Adm - UTK","Management",NA," "," "," "," ","No","","No","Present","","N",1991,"WE7 - $25,000 < $50,000",2.39794000867204
"23353",2691,"M","Candler","NC","28715","No","Present",2010,"UTK","Bachelor of Science","Bus Adm - UTK","Accounting",2012,"UTK","Master of Accountancy","Bus Adm - UTK","Accounting","No","","No","Missing","","N",2015,"WEB - $2,500 < $5,000",2.30102999566398
"41530",2692,"M","Knoxville","TN","37922","Yes","Present",1966,"UTK","Bachelor of Science","Bus Adm - UTK","Economics",NA," "," "," "," ","No","","No","Present","UTK - Sigma Alpha Epsilon","Y",1987,"WE3 - $500,000 < $1 million",5.22975861122137
"25",2693,"F","Friendsville","TN","37737","Yes","Missing",1968,"UTK"," ","Bus Adm - UTK","Unknown",NA," "," "," "," ","No","Yes","No","Missing","","N",1972,"WE4 - $250,000 < $500,000",1
"39224",2694,"M","Arlington","VA","22204","Yes","Present",1988,"UTK","Bachelor of Science","Bus Adm - UTK","Management",1991,"UTK","Bachelor of Arts","Liberal Arts - UTK","Economics-Liberal Arts","No","","No","Present","","Y",2003,"WE5 - $100,000 < $250,000",3.03742649794062
"2376",2695,"M","Angola","IN","46703","Yes","Present",1979,"UTK","Bachelor of Science","Bus Adm - UTK","Personnel Management",NA," "," "," "," ","No","Yes","No","Missing","","N",1981,"WE5 - $100,000 < $250,000",2.43136376415899
"40095",2696,"F","Knoxville","TN","37934","Yes","Present",1994,"UTK","Bachelor of Science","Bus Adm - UTK","Marketing",NA," "," "," "," ","No","Yes","No","Present","","Y",1999,"WE6 - $50,000 < $100,000",4.43328968519503
"37523",2697,"F","Memphis","TN","38116","Yes","Present",1981,"UTK","Bachelor of Science","Bus Adm - UTK","Transportation/Logistics",NA," "," "," "," ","No","","No","Present","","N",1998,"WE7 - $25,000 < $50,000",1.8750612633917
"350",2699,"F","Bethesda","MD","20814","Yes","Present",1957,"UTK","Bachelor of Science","Bus Adm - UTK","Unknown",NA," "," "," "," ","No","Yes","No","Missing","UTK - Alpha Delta Pi","Y",1977,"WE4 - $250,000 < $500,000",2.27875360095283
"18938",2701,"F","Boston","MA","02114","Yes","Present",2007,"UTK","Master of Business Administration","Bus Adm - UTK","Business Administration",NA," "," "," "," ","No","","No","Missing","","N",2007,"WEB - $2,500 < $5,000",2.39794000867204
"27272",2702,"M","Richmond","VA","23225","Yes","Missing",2005,"UTK","Bachelor of Science","Bus Adm - UTK","Marketing",2005,"UTK","Bachelor of Arts","Arts & Sci - UTK","Geography","No","","No","Missing","","N",2008,"WE8 - $15,000 < $25,000",1.69897000433602
"41151",2704,"M","Knoxville","TN","37918","Yes","Missing",1975,"UTK","Bachelor of Science","Bus Adm - UTK","Marketing",NA," "," "," "," ","No","","No","Present","","N",2007,"WE7 - $25,000 < $50,000",3.26481782300954
"39419",2705,"M","Eads","TN","38028","Yes","Present",2002,"UTK","Master of Business Administration","Bus Adm - UTK","Business Administration",NA," "," "," "," ","No","","No","Present","","N",2003,"WE3 - $500,000 < $1 million",2.81291335664286
"39277",2706,"M","Houston","TX","77024","Yes","Present",1978,"UTK","Bachelor of Science","Bus Adm - UTK","Public Administration",1980,"UTK","Master of Business Administration","Bus Adm - UTK","Finance","No","","No","Present","UTK - Sigma Chi","Y",1981,"WE3 - $500,000 < $1 million",3.47928731647617
"39688",2707,"M","Nashville","TN","37221","Yes","Present",1991,"UTK","Master of Business Administration","Bus Adm - UTK","Business Administration",NA," "," "," "," ","No","Yes","No","Present","","N",1999,"WE6 - $50,000 < $100,000",2.75966784468963
"16138",2708,"F","Rio Linda","CA","95673","Yes","Present",1967,"UTK","Bachelor of Science","Bus Adm - UTK","Unknown",NA," "," "," "," ","No","","No","Missing","","N",1978,"WEZ - Unable to Rate",2.1846914308176
"17196",2709,"F","Knoxville","TN","37922","Yes","Present",2015,"UTK","Bachelor of Science","Bus Adm - UTK","Finance",NA," "," "," "," ","No","","No","Missing","","N",2015,"WEZ - Unable to Rate",1.30427505047713
"42422",2711,"M","Knoxville","TN","37919","Yes","Present",1978,"UTK","Bachelor of Science","Bus Adm - UTK","General Business",NA," "," "," "," ","No","","No","Present","","N",1991,"WE6 - $50,000 < $100,000",4.9402462119101
"8427",2713,"M","Nashville","TN","37215","Yes","Present",2009,"UTK","Bachelor of Science","Bus Adm - UTK","Accounting",2010,"UTK","Master of Accountancy","Bus Adm - UTK","Accounting","No","","No","Missing","","N",2012,"WEZ - Unable to Rate",2.9893964175213
"12968",2714,"F","Knoxville","TN","37934","Yes","Present",2012,"UTK","Bachelor of Science","Bus Adm - UTK","Marketing",NA," "," "," "," ","No","","No","Missing","","Y",2012,"WE6 - $50,000 < $100,000",1.74036268949424
"15217",2716,"M","Knoxville","TN","37922","Yes","Present",2001,"UTK","Bachelor of Science","Arts & Sci - UTK","Mathematics",2003,"UTK","Master of Science","Bus Adm - UTK","Statistics","No","","No","Missing","","N",2006,"WEZ - Unable to Rate",2.86108614539839
"9250",2718,"M","Knoxville","TN","37912","Yes","Present",1977,"UTK","Bachelor of Science","Bus Adm - UTK","General Business",NA," "," "," "," ","No","","No","Missing","","N",1987,"WE6 - $50,000 < $100,000",2.19033169817029
"38372",2719,"M","Knoxville","TN","37934","Yes","Present",1991,"UTK","Master of Business Administration","Bus Adm - UTK","Business Administration",NA," "," "," "," ","No","Yes","No","Present","","N",1985,"WE5 - $100,000 < $250,000",2.74429298312268
"34072",2721,"M","Collegedale","TN","37315","No","Missing",1993,"UTK","Bachelor of Science","Bus Adm - UTK","Logistics & Transportation",NA," "," "," "," ","No","","No","Missing","","N",1997,"WE6 - $50,000 < $100,000",2.24303804868629
"13778",2722,"F","Bluff City","TN","37618","Yes","Present",2006,"UTK","Master of Business Administration","Bus Adm - UTK","Business Administration",NA," "," "," "," ","No","","No","Missing","","N",2014,"WE6 - $50,000 < $100,000",2
"42377",2723,"M","Dyersburg","TN","38025","Yes","Present",1967,"UTK","Bachelor of Science","Bus Adm - UTK","Unknown",NA," "," "," "," ","No","","No","Present","","N",1981,"WE4 - $250,000 < $500,000",3.2135177569963
"14961",2724,"F","Saint Louis","MO","63122","No","Present",1990,"UTK","Bachelor of Science","Bus Adm - UTK","Logistics & Transportation",NA," "," "," "," ","No","","No","Missing","","Y",1990,"WEZ - Unable to Rate",2.79588001734408
"11185",2729,"M","Lake Jackson","TX","77566","No","Present",1981,"UTK","Bachelor of Science","Bus Adm - UTK","Finance",NA," "," "," "," ","No","","No","Missing","","Y",1983,"WE6 - $50,000 < $100,000",3.50718097726024
